index,city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
13260,Blairsville,Blairsville,40.4325,-79.2599,United States,US,USA,Pennsylvania,,6759.0,1840000990
13262,Enoch,Enoch,37.7663,-113.0431,United States,US,USA,Utah,,6756.0,1840020273
13263,Creswell,Creswell,43.9212,-123.016,United States,US,USA,Oregon,,6752.0,1840018625
13264,Merrimac,Merrimac,42.8386,-71.0119,United States,US,USA,Massachusetts,,6752.0,1840053533
13265,Byron Center,Byron Center,42.8121,-85.7279,United States,US,USA,Michigan,,6751.0,1840004306
13266,Junction City,Junction City,44.2069,-123.2102,United States,US,USA,Oregon,,6749.0,1840018623
13267,Brook Highland,Brook Highland,33.4359,-86.6849,United States,US,USA,Alabama,,6748.0,1840027551
13268,Winthrop Harbor,Winthrop Harbor,42.4805,-87.8293,United States,US,USA,Illinois,,6745.0,1840011178
13269,Washington,Washington,41.2982,-91.6928,United States,US,USA,Iowa,,6745.0,1840010255
13270,North Syracuse,North Syracuse,43.1339,-76.1306,United States,US,USA,New York,,6742.0,1840004326
13271,Bee Cave,Bee Cave,30.3084,-97.9629,United States,US,USA,Texas,,6739.0,1840023142
13272,Greenville,Greenville,38.8866,-89.3893,United States,US,USA,Illinois,,6738.0,1840008563
13273,Ephraim,Ephraim,39.3564,-111.5848,United States,US,USA,Utah,,6734.0,1840020202
13274,Osprey,Osprey,27.1914,-82.48,United States,US,USA,Florida,,6734.0,1840014186
13275,Red Hook,Red Hook,41.9959,-73.8769,United States,US,USA,New York,,6732.0,1840004752
13276,Camp Swift,Camp Swift,30.1885,-97.2933,United States,US,USA,Texas,,6731.0,1840018243
13277,North Caldwell,North Caldwell,40.8629,-74.2576,United States,US,USA,New Jersey,,6730.0,1840002793
13278,Edinboro,Edinboro,41.8762,-80.1247,United States,US,USA,Pennsylvania,,6729.0,1840000476
13279,Huntertown,Huntertown,41.2157,-85.1715,United States,US,USA,Indiana,,6729.0,1840010297
13280,Interlaken,Interlaken,36.9505,-121.7363,United States,US,USA,California,,6725.0,1840017653
13281,Bremen,Bremen,33.7086,-85.1498,United States,US,USA,Georgia,,6725.0,1840013715
13282,Ambridge,Ambridge,40.5922,-80.2264,United States,US,USA,Pennsylvania,,6724.0,1840001010
13283,Hamilton,Hamilton,46.2527,-114.1598,United States,US,USA,Montana,,6722.0,1840019896
13284,Barberton,Barberton,45.7136,-122.6114,United States,US,USA,Washington,,6719.0,1840017397
13285,Glendive,Glendive,47.1102,-104.7069,United States,US,USA,Montana,,6719.0,1840019824
13286,Portage,Portage,40.3868,-78.6746,United States,US,USA,Pennsylvania,,6717.0,1840001122
13287,Plaquemine,Plaquemine,30.2834,-91.2429,United States,US,USA,Louisiana,,6715.0,1840015037
13288,Myers Corner,Myers Corner,41.5947,-73.8744,United States,US,USA,New York,,6715.0,1840004742
13289,Locust Grove,Locust Grove,33.3436,-84.1066,United States,US,USA,Georgia,,6715.0,1840015705
13290,Nevada,Nevada,42.0186,-93.4635,United States,US,USA,Iowa,,6707.0,1840008125
13291,Gleneagle,Gleneagle,39.0453,-104.8288,United States,US,USA,Colorado,,6706.0,1840028578
13292,Groveland,Groveland,42.752,-71.0149,United States,US,USA,Massachusetts,,6697.0,1840053530
13293,Stickney,Stickney,41.8183,-87.773,United States,US,USA,Illinois,,6694.0,1840011326
13294,Aquia Harbour,Aquia Harbour,38.4597,-77.3806,United States,US,USA,Virginia,,6694.0,1840006216
13295,Stevensville,Stevensville,38.9745,-76.3184,United States,US,USA,Maryland,,6694.0,1840005897
13296,Roosevelt,Roosevelt,40.2925,-110.0094,United States,US,USA,Utah,,6694.0,1840020162
13297,South Hill,South Hill,42.4113,-76.4883,United States,US,USA,New York,,6693.0,1840004541
13300,Columbia,Columbia,31.2564,-89.8266,United States,US,USA,Mississippi,,6689.0,1840014970
13301,Selma,Selma,35.5436,-78.2955,United States,US,USA,North Carolina,,6684.0,1840017794
13302,Ellettsville,Ellettsville,39.2324,-86.6233,United States,US,USA,Indiana,,6677.0,1840010665
13303,Columbus,Columbus,43.3354,-89.03,United States,US,USA,Wisconsin,,6675.0,1840002708
13304,Church Hill,Church Hill,36.5204,-82.7151,United States,US,USA,Tennessee,,6674.0,1840014428
13305,Fox Point,Fox Point,43.1581,-87.9013,United States,US,USA,Wisconsin,,6670.0,1840003042
13306,Laurence Harbor,Laurence Harbor,40.4489,-74.2495,United States,US,USA,New Jersey,,6670.0,1840005420
13307,South Patrick Shores,South Patrick Shores,28.202,-80.6137,United States,US,USA,Florida,,6669.0,1840029080
13308,Silver Lake,Silver Lake,34.1408,-77.909,United States,US,USA,North Carolina,,6669.0,1840032901
13309,Canton,Canton,44.6,-75.1703,United States,US,USA,New York,,6666.0,1840004065
13310,Martins Ferry,Martins Ferry,40.1014,-80.7253,United States,US,USA,Ohio,,6659.0,1840008388
13311,Taneytown,Taneytown,39.657,-77.1683,United States,US,USA,Maryland,,6658.0,1840005700
13312,Loudoun Valley Estates,Loudoun Valley Estates,38.9801,-77.5082,United States,US,USA,Virginia,,6649.0,1840041775
13313,Normandy Park,Normandy Park,47.4344,-122.3436,United States,US,USA,Washington,,6649.0,1840019832
13314,Cherry Hills Village,Cherry Hills Village,39.6375,-104.9481,United States,US,USA,Colorado,,6644.0,1840018793
13315,Rupert,Rupert,42.6189,-113.674,United States,US,USA,Idaho,,6643.0,1840020066
13316,Cushing,Cushing,35.9797,-96.7603,United States,US,USA,Oklahoma,,6637.0,1840019062
13317,Montevallo,Montevallo,33.1254,-86.8482,United States,US,USA,Alabama,,6636.0,1840014825
13318,Spring Hill,Spring Hill,38.7565,-94.82,United States,US,USA,Kansas,,6635.0,1840001642
13319,Monticello,Monticello,36.8404,-84.8506,United States,US,USA,Kentucky,,6634.0,1840014404
13320,Beaver Dam,Beaver Dam,37.4044,-86.8745,United States,US,USA,Kentucky,,6633.0,1840013232
13321,Penn Estates,Penn Estates,41.0346,-75.2417,United States,US,USA,Pennsylvania,,6631.0,1840035454
13322,Sidney,Sidney,47.7152,-104.168,United States,US,USA,Montana,,6628.0,1840021085
13323,Union,Union,39.909,-84.2897,United States,US,USA,Ohio,,6624.0,1840010583
13325,Green Knoll,Green Knoll,40.6048,-74.615,United States,US,USA,New Jersey,,6614.0,1840033460
13326,Mattydale,Mattydale,43.0992,-76.1388,United States,US,USA,New York,,6611.0,1840004317
13328,Clairton,Clairton,40.2976,-79.8854,United States,US,USA,Pennsylvania,,6611.0,1840001219
